platform_name,date,raw_count,amar,intensity_rate
TikTok,2025-01-01,3025967,169000000,17905.13
TikTok,2025-01-02,2973879,169000000,17596.92
TikTok,2025-01-03,3015634,169000000,17843.99
TikTok,2025-01-04,3100121,169000000,18343.91
TikTok,2025-01-05,3107927,169000000,18390.1
TikTok,2025-01-06,2952184,169000000,17468.54
TikTok,2025-01-07,2656910,169000000,15721.36
TikTok,2025-01-08,2712400,169000000,16049.7
TikTok,2025-01-09,2599672,169000000,15382.67
TikTok,2025-01-10,2858106,169000000,16911.87
TikTok,2025-01-11,3141899,169000000,18591.12
TikTok,2025-01-12,3080226,169000000,18226.19
TikTok,2025-01-13,2593213,169000000,15344.46
TikTok,2025-01-14,2701406,169000000,15984.65
TikTok,2025-01-15,2738147,169000000,16202.05
TikTok,2025-01-16,2752645,169000000,16287.84
TikTok,2025-01-17,2914680,169000000,17246.63
TikTok,2025-01-18,3194817,169000000,18904.24
TikTok,2025-01-19,3251638,169000000,19240.46
TikTok,2025-01-20,2900062,169000000,17160.13
TikTok,2025-01-21,2917770,169000000,17264.91
TikTok,2025-01-22,3316562,169000000,19624.63
TikTok,2025-01-23,4444341,169000000,26297.88
TikTok,2025-01-24,5532949,169000000,32739.34
TikTok,2025-01-25,5515355,169000000,32635.24
TikTok,2025-01-26,5518938,169000000,32656.44
TikTok,2025-01-27,4560831,169000000,26987.17
TikTok,2025-01-28,4832351,169000000,28593.79
TikTok,2025-01-29,4761728,169000000,28175.91
TikTok,2025-01-30,4756750,169000000,28146.45
TikTok,2025-01-31,4631776,169000000,27406.96
TikTok,2025-02-01,5056272,169000000,29918.77
TikTok,2025-02-02,5112748,169000000,30252.95
TikTok,2025-02-03,4612207,169000000,27291.17
TikTok,2025-02-04,4393481,169000000,25996.93
TikTok,2025-02-05,3999932,169000000,23668.24
TikTok,2025-02-06,4520630,169000000,26749.29
TikTok,2025-02-07,4753410,169000000,28126.69
TikTok,2025-02-08,5489234,169000000,32480.67
TikTok,2025-02-09,5523191,169000000,32681.6
TikTok,2025-02-10,4522010,169000000,26757.46
TikTok,2025-02-11,5216254,169000000,30865.41
TikTok,2025-02-12,5817390,169000000,34422.43
TikTok,2025-02-13,3233585,169000000,19133.64
TikTok,2025-02-14,5929709,169000000,35087.04
TikTok,2025-02-15,6585728,169000000,38968.8
TikTok,2025-02-16,6537334,169000000,38682.45
TikTok,2025-02-17,5833103,169000000,34515.4
TikTok,2025-02-18,5832274,169000000,34510.5
TikTok,2025-02-19,6200544,169000000,36689.61
TikTok,2025-02-20,5847654,169000000,34601.5
TikTok,2025-02-21,6122784,169000000,36229.49
TikTok,2025-02-22,6619447,169000000,39168.33
TikTok,2025-02-23,6515049,169000000,38550.59
TikTok,2025-02-24,6023348,169000000,35641.11
TikTok,2025-02-25,6286842,169000000,37200.25
TikTok,2025-02-26,6439132,169000000,38101.37
TikTok,2025-02-27,6327568,169000000,37441.23
TikTok,2025-02-28,6433131,169000000,38065.86
TikTok,2025-03-01,7029206,169000000,41592.93
TikTok,2025-03-02,6993848,169000000,41383.72
TikTok,2025-03-03,6270927,169000000,37106.08
TikTok,2025-03-04,6076663,169000000,35956.59
TikTok,2025-03-05,6063469,169000000,35878.51
TikTok,2025-03-06,6004420,169000000,35529.11
TikTok,2025-03-07,6276372,169000000,37138.3
TikTok,2025-03-08,6814358,169000000,40321.64
TikTok,2025-03-09,6972400,169000000,41256.8
TikTok,2025-03-10,6111384,169000000,36162.04
TikTok,2025-03-11,6274992,169000000,37130.13
TikTok,2025-03-12,6469171,169000000,38279.12
TikTok,2025-03-13,6570592,169000000,38879.24
TikTok,2025-03-14,6509626,169000000,38518.5
TikTok,2025-03-15,7162675,169000000,42382.69
TikTok,2025-03-16,7247209,169000000,42882.89
TikTok,2025-03-17,6247497,169000000,36967.44
TikTok,2025-03-18,6301263,169000000,37285.58
TikTok,2025-03-19,6399610,169000000,37867.51
TikTok,2025-03-20,6121528,169000000,36222.06
TikTok,2025-03-21,6359808,169000000,37632.0
TikTok,2025-03-22,7136962,169000000,42230.54
TikTok,2025-03-23,7293782,169000000,43158.47
TikTok,2025-03-24,6405991,169000000,37905.27
TikTok,2025-03-25,6276032,169000000,37136.28
TikTok,2025-03-26,6216533,169000000,36784.22
TikTok,2025-03-27,6244337,169000000,36948.74
TikTok,2025-03-28,6230944,169000000,36869.49
TikTok,2025-03-29,7110655,169000000,42074.88
TikTok,2025-03-30,6984644,169000000,41329.25
TikTok,2025-03-31,6178739,169000000,36560.59
TikTok,2025-04-01,6034358,169000000,35706.26
TikTok,2025-04-02,5797575,169000000,34305.18
TikTok,2025-04-03,5813722,169000000,34400.72
TikTok,2025-04-04,5396933,169000000,31934.51
TikTok,2025-04-05,6067821,169000000,35904.27
TikTok,2025-04-06,6094464,169000000,36061.92
TikTok,2025-04-07,5799819,169000000,34318.46
TikTok,2025-04-08,6116706,169000000,36193.53
TikTok,2025-04-09,5942186,169000000,35160.86
TikTok,2025-04-10,5776528,169000000,34180.64
TikTok,2025-04-11,6008042,169000000,35550.54
TikTok,2025-04-12,6332490,169000000,37470.36
TikTok,2025-04-13,6616247,169000000,39149.39
TikTok,2025-04-14,6320796,169000000,37401.16
TikTok,2025-04-15,6681999,169000000,39538.46
TikTok,2025-04-16,6272198,169000000,37113.6
TikTok,2025-04-17,6596294,169000000,39031.33
TikTok,2025-04-18,6830472,169000000,40416.99
TikTok,2025-04-19,6735257,169000000,39853.59
TikTok,2025-04-20,6918121,169000000,40935.63
TikTok,2025-04-21,6561288,169000000,38824.19
TikTok,2025-04-22,6127460,169000000,36257.16
TikTok,2025-04-23,5981457,169000000,35393.24
TikTok,2025-04-24,6006415,169000000,35540.92
TikTok,2025-04-25,6356509,169000000,37612.48
TikTok,2025-04-26,6580455,169000000,38937.6
TikTok,2025-04-27,6465595,169000000,38257.96
TikTok,2025-04-28,5211836,169000000,30839.27
TikTok,2025-04-29,5827154,169000000,34480.2
TikTok,2025-04-30,6228919,169000000,36857.51
TikTok,2025-05-01,3590809,169000000,21247.39
TikTok,2025-05-02,3358323,169000000,19871.73
TikTok,2025-05-03,3449612,169000000,20411.91
TikTok,2025-05-04,3491269,169000000,20658.4
TikTok,2025-05-05,3019405,169000000,17866.3
TikTok,2025-05-06,3101593,169000000,18352.62
TikTok,2025-05-07,3236428,169000000,19150.46
TikTok,2025-05-08,3166668,169000000,18737.68
TikTok,2025-05-09,3024457,169000000,17896.2
TikTok,2025-05-10,3416430,169000000,20215.56
TikTok,2025-05-11,3410606,169000000,20181.1
TikTok,2025-05-12,2978196,169000000,17622.46
TikTok,2025-05-13,2924051,169000000,17302.08
TikTok,2025-05-14,2975689,169000000,17607.63
TikTok,2025-05-15,2903847,169000000,17182.53
TikTok,2025-05-16,3243739,169000000,19193.72
TikTok,2025-05-17,3545055,169000000,20976.66
TikTok,2025-05-18,3682050,169000000,21787.28
TikTok,2025-05-19,3295032,169000000,19497.23
TikTok,2025-05-20,3090044,169000000,18284.28
TikTok,2025-05-21,3195932,169000000,18910.84
TikTok,2025-05-22,3104954,169000000,18372.51
TikTok,2025-05-23,3476454,169000000,20570.73
TikTok,2025-05-24,3588774,169000000,21235.35
TikTok,2025-05-25,3487348,169000000,20635.2
TikTok,2025-05-26,3086189,169000000,18261.47
TikTok,2025-05-27,3254203,169000000,19255.64
TikTok,2025-05-28,3204542,169000000,18961.79
TikTok,2025-05-29,3300505,169000000,19529.62
TikTok,2025-05-30,3561711,169000000,21075.21
TikTok,2025-05-31,3639469,169000000,21535.32
TikTok,2025-06-01,3692821,169000000,21851.01
TikTok,2025-06-02,3373295,169000000,19960.33
TikTok,2025-06-03,3240074,169000000,19172.04
TikTok,2025-06-04,3216712,169000000,19033.8
TikTok,2025-06-05,2699748,169000000,15974.84
TikTok,2025-06-06,2527597,169000000,14956.2
TikTok,2025-06-07,2672318,169000000,15812.53
TikTok,2025-06-08,2854964,169000000,16893.28
TikTok,2025-06-09,2809545,169000000,16624.53
TikTok,2025-06-10,2750815,169000000,16277.01
TikTok,2025-06-11,2716845,169000000,16076.01
TikTok,2025-06-12,2568216,169000000,15196.54
TikTok,2025-06-13,2831825,169000000,16756.36
TikTok,2025-06-14,2850475,169000000,16866.72
TikTok,2025-06-15,2714440,169000000,16061.78
TikTok,2025-06-16,2815114,169000000,16657.48
TikTok,2025-06-17,2112479,169000000,12499.88
TikTok,2025-06-18,2217009,169000000,13118.4
TikTok,2025-06-19,2138625,169000000,12654.59
TikTok,2025-06-20,2160824,169000000,12785.94
TikTok,2025-06-21,2193622,169000000,12980.01
TikTok,2025-06-22,2310428,169000000,13671.17
TikTok,2025-06-23,2188684,169000000,12950.79
TikTok,2025-06-24,2137827,169000000,12649.86
TikTok,2025-06-25,2257130,169000000,13355.8
TikTok,2025-06-26,2305599,169000000,13642.6
TikTok,2025-06-27,2402282,169000000,14214.69
TikTok,2025-06-28,2385414,169000000,14114.88
TikTok,2025-06-29,2416865,169000000,14300.98
TikTok,2025-06-30,2001117,169000000,11840.93
X,2025-01-01,1844,94830300,19.45
X,2025-01-02,2417,94830300,25.49
X,2025-01-03,3557,94830300,37.51
X,2025-01-04,3294,94830300,34.74
X,2025-01-05,3439,94830300,36.26
X,2025-01-06,3338,94830300,35.2
X,2025-01-07,3396,94830300,35.81
X,2025-01-08,2698,94830300,28.45
X,2025-01-09,2699,94830300,28.46
X,2025-01-10,2721,94830300,28.69
X,2025-01-11,2824,94830300,29.78
X,2025-01-12,3241,94830300,34.18
X,2025-01-13,2881,94830300,30.38
X,2025-01-14,2539,94830300,26.77
X,2025-01-15,2134,94830300,22.5
X,2025-01-16,3472,94830300,36.61
X,2025-01-17,3199,94830300,33.73
X,2025-01-18,3040,94830300,32.06
X,2025-01-19,3292,94830300,34.71
X,2025-01-20,1766,94830300,18.62
X,2025-01-21,2235,94830300,23.57
X,2025-01-22,2324,94830300,24.51
X,2025-01-23,2203,94830300,23.23
X,2025-01-24,2470,94830300,26.05
X,2025-01-25,3261,94830300,34.39
X,2025-01-26,2816,94830300,29.7
X,2025-01-27,1939,94830300,20.45
X,2025-01-28,1878,94830300,19.8
X,2025-01-29,2097,94830300,22.11
X,2025-01-30,1943,94830300,20.49
X,2025-01-31,2459,94830300,25.93
X,2025-02-01,2785,94830300,29.37
X,2025-02-02,3012,94830300,31.76
X,2025-02-03,2774,94830300,29.25
X,2025-02-04,2834,94830300,29.88
X,2025-02-05,3284,94830300,34.63
X,2025-02-06,5166,94830300,54.48
X,2025-02-07,5181,94830300,54.63
X,2025-02-08,3653,94830300,38.52
X,2025-02-09,2907,94830300,30.65
X,2025-02-10,2463,94830300,25.97
X,2025-02-11,2409,94830300,25.4
X,2025-02-12,2594,94830300,27.35
X,2025-02-13,2658,94830300,28.03
X,2025-02-14,3567,94830300,37.61
X,2025-02-15,2166,94830300,22.84
X,2025-02-16,2230,94830300,23.52
X,2025-02-17,2206,94830300,23.26
X,2025-02-18,2103,94830300,22.18
X,2025-02-19,2446,94830300,25.79
X,2025-02-20,2677,94830300,28.23
X,2025-02-21,2237,94830300,23.59
X,2025-02-22,1969,94830300,20.76
X,2025-02-23,1590,94830300,16.77
X,2025-02-24,2577,94830300,27.17
X,2025-02-25,3428,94830300,36.15
X,2025-02-26,2762,94830300,29.13
X,2025-02-27,3095,94830300,32.64
X,2025-02-28,5593,94830300,58.98
X,2025-03-01,4158,94830300,43.85
X,2025-03-02,3314,94830300,34.95
X,2025-03-03,6903,94830300,72.79
X,2025-03-04,3191,94830300,33.65
X,2025-03-05,3186,94830300,33.6
X,2025-03-06,2728,94830300,28.77
X,2025-03-07,2264,94830300,23.87
X,2025-03-08,2180,94830300,22.99
X,2025-03-09,2108,94830300,22.23
X,2025-03-10,2651,94830300,27.96
X,2025-03-11,2112,94830300,22.27
X,2025-03-12,2317,94830300,24.43
X,2025-03-13,2615,94830300,27.58
X,2025-03-14,2727,94830300,28.76
X,2025-03-15,2153,94830300,22.7
X,2025-03-16,2688,94830300,28.35
X,2025-03-17,2592,94830300,27.33
X,2025-03-18,2743,94830300,28.93
X,2025-03-19,2400,94830300,25.31
X,2025-03-20,2521,94830300,26.58
X,2025-03-21,2602,94830300,27.44
X,2025-03-22,2257,94830300,23.8
X,2025-03-23,1884,94830300,19.87
X,2025-03-24,2292,94830300,24.17
X,2025-03-25,2911,94830300,30.7
X,2025-03-26,2457,94830300,25.91
X,2025-03-27,3858,94830300,40.68
X,2025-03-28,2702,94830300,28.49
X,2025-03-29,2816,94830300,29.7
X,2025-03-30,2510,94830300,26.47
X,2025-03-31,2688,94830300,28.35
X,2025-04-01,1648,102004250,16.16
X,2025-04-02,1843,102004250,18.07
X,2025-04-03,2351,102004250,23.05
X,2025-04-04,2834,102004250,27.78
X,2025-04-05,2176,102004250,21.33
X,2025-04-06,2548,102004250,24.98
X,2025-04-07,2564,102004250,25.14
X,2025-04-08,2347,102004250,23.01
X,2025-04-09,2548,102004250,24.98
X,2025-04-10,2486,102004250,24.37
X,2025-04-11,2053,102004250,20.13
X,2025-04-12,1832,102004250,17.96
X,2025-04-13,2028,102004250,19.88
X,2025-04-14,2393,102004250,23.46
X,2025-04-15,2350,102004250,23.04
X,2025-04-16,2530,102004250,24.8
X,2025-04-17,2396,102004250,23.49
X,2025-04-18,2198,102004250,21.55
X,2025-04-19,2056,102004250,20.16
X,2025-04-20,1795,102004250,17.6
X,2025-04-21,2172,102004250,21.29
X,2025-04-22,2507,102004250,24.58
X,2025-04-23,2537,102004250,24.87
X,2025-04-24,2505,102004250,24.56
X,2025-04-25,2567,102004250,25.17
X,2025-04-26,1548,102004250,15.18
X,2025-04-27,1527,102004250,14.97
X,2025-04-28,2205,102004250,21.62
X,2025-04-29,1767,102004250,17.32
X,2025-04-30,1910,102004250,18.72
X,2025-05-01,1725,102004250,16.91
X,2025-05-02,1643,102004250,16.11
X,2025-05-03,1661,102004250,16.28
X,2025-05-04,1742,102004250,17.08
X,2025-05-05,2080,102004250,20.39
X,2025-05-06,2086,102004250,20.45
X,2025-05-07,2389,102004250,23.42
X,2025-05-08,2625,102004250,25.73
X,2025-05-09,2330,102004250,22.84
X,2025-05-10,2066,102004250,20.25
X,2025-05-11,1788,102004250,17.53
X,2025-05-12,2102,102004250,20.61
X,2025-05-13,2064,102004250,20.23
X,2025-05-14,1811,102004250,17.75
X,2025-05-15,1908,102004250,18.71
X,2025-05-16,1883,102004250,18.46
X,2025-05-17,1625,102004250,15.93
