platform_name,month,raw_count,amar,intensity_rate
TikTok,2025-01,108870939,25700000,4236223.31
TikTok,2025-02,155621404,25700000,6055307.55
TikTok,2025-03,202128288,25700000,7864913.93
TikTok,2025-04,185115344,25700000,7202931.67
TikTok,2025-05,101359626,25700000,3943954.32
TikTok,2025-06,77126737,25700000,3001040.35
X,2025-01,36112,15598407,2315.11
X,2025-02,33139,15598407,2124.51
X,2025-03,31542,15598407,2022.13
X,2025-04,13586,14929142,910.03
X,2025-05,6475,14929142,433.72
X,2025-06,11337,14929142,759.39
